Nome;Prazo;Responsável;Criado por;Grupo;Serviço
;;;;;;

ARM Transporte;em 30 dias;Alessandra Santos;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;
ENVIO DE BRINDES E ITENS AS LOJAS;Não;Willian Pena;VANESSA -DESLIGADA 02/04;10.04.03. CD / Logística / Transporte;não especificada;
Envio de brindes para entrega;em 50 hora;SERGIO HENRIQUE;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Acompanhamento Vendas;em 1 dia;SERGIO HENRIQUE;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Fechamento de Ordens de Carga;em 1 dia;Robson Lima;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Ocorrência - Consultor x cliente.;Não;Robson Lima;Robson Lima;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Ocorrência - Forma de Pagamento divergente;em 1 dia;Robson Lima;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Prestação de contas Caixa CD;Não;Silvia Carvalho;Robson Lima;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Solicitação - Autorização de Orçamento - Revisão dos carros;Não;Mayra Pena;Robson Lima;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Solicitação - Envio de Material sem NF;Não;Alessandra Santos;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;
Logística / Transporte - Validação Nota Ticket Log;em 10 dias;Alessandra Santos;Mayra Pena;10.04.03. CD / Logística / Transporte;não especificada;

Logística / Transporte - Solicitação - Entrega Expressa;em 2 dias;Alessandra Santos;Mayra Pena;11.04.03. Bonsucesso / Logística / Transporte;não especificada;

Romaneio de entregas da Tercerizada CEVIK 06/10 a 10/10;em 15 hora;Imila Souza Gerente Cabo Frio;Luis Carlos Marques Berriel;12.04.03. Cabo Frio / Logística / Transporte;não especificada;

Logística / Transporte - Ocorrência - Entrega;em 1 dia;Alessandra Santos;Mayra Pena;13.04.03. Campo Grande / Logística / Transporte;não especificada;

CRM: Trinity - Escola de Negócios;Não;Desligada 30 /07 Carla- Caballero;Desligada 30 /07 Carla- Caballero;15.01.04.01. Taquara / Comercial / Casa da Revenda / Assessoria;não especificada;

CD / Logística / Uso e Consumo - Cadastro Pontua;em 2 dias;Mayra Pena;Camila Dias;04.00.01. Logística / Processos;não especificada;
Sprint Review / Feedback Semanal / Logística;Não;Mayra Pena;Mayra Pena;04.00.01. Logística / Processos;não especificada;

Projetos / Projetos Especiais;em 2 dias;ISRAEL MOREIRA;ISRAEL MOREIRA;Projetos Especiais;não especificada;
Projetos / Visita;em 30 hora;ISRAEL MOREIRA;ISRAEL MOREIRA;Projetos Especiais;não especificada;

Checklist de Atividades;Não;Barbara Cristina - Gerente Bonsucesso;Barbara Cristina - Gerente Bonsucesso;11.01.03.00. Bonsucesso / Comercial / Corporativo;não especificada;

Checklist para Controle de Atividades na unidade;Não;Imila Souza Gerente Cabo Frio;Imila Souza Gerente Cabo Frio;12.01.03.00. Cabo Frio / Comercial / Corporativo;não especificada;

Pedidos Faturados na Fábrica;Não;Camila Dias;Camila Dias;Extranet - INTELBRAS Segurança / MAKE Comunica;não especificada;

Atividades Executivo em Loja;Não;Rafaela Portella;Camila Dias;Extranet - INTELBRAS TIC / MAKE Comunica;não especificada;

Modelo de Entrevista 1x1;Não;Mayra Pena;Mayra Pena;06.01.00. Controladoria / Corporativa;não especificada;

Estratégias diárias SDR;Não;Camila Dias;Camila Dias;Estratégias diárias SDR;não especificada;

Serviços / Duvidas;em 1 hora;Jonas Benachio;Jonas Benachio;Suporte Tecnico / Bonsucesso;Duvidas;

Pessoas / RH - Solicitação - Abertura de Vaga / Pos Venda;em 2 dias;Raniele Costa;ROSANGELA ROCHA;09.02.00.05. Inter / Pessoas X Serviços;não especificada;

CRM: Origins - Escola de Negócios;Não;Desligada 30 /07 Carla- Caballero;Desligada 30 /07 Carla- Caballero;15.01.03.02. Taquara / Comercial / Corporativo / Priscila Rosa;não especificada;

Checklist Mensal Fiorino - LUT4321;em 30 dias;Luiz Alexandre;Mayra Pena;04.03.01. Logística / Transporte / Veículos / Fiorino LUT4321;não especificada;
Cotação Pneus - LUT4321;em 15 dias;Alessandra Santos;Mayra Pena;04.03.01. Logística / Transporte / Veículos / Fiorino LUT4321;não especificada;
limpeza Fiorino - LUT4321;em 1 dia;Luiz Alexandre;Mayra Pena;04.03.01. Logística / Transporte / Veículos / Fiorino LUT4321;não especificada;
Manutenção Corretiva - LUT4321;em 1 dia;Luiz Alexandre;Mayra Pena;04.03.01. Logística / Transporte / Veículos / Fiorino LUT4321;não especificada;
Manutenção Preventiva - LUT4321;em 1 dia;Luiz Alexandre;Mayra Pena;04.03.01. Logística / Transporte / Veículos / Fiorino LUT4321;não especificada;
Revisão Periódica - LUT4321;em 15 dias;Luiz Alexandre;Mayra Pena;04.03.01. Logística / Transporte / Veículos / Fiorino LUT4321;não especificada;

Checklist Mensal Fiorino - RJO3C64;em 30 dias;Luiz Alexandre;Mayra Pena;04.03.02. Logística / Transporte / Veículos / Fiorino RJO3C64;não especificada;
Cotação Pneus - RJO3C64;em 15 dias;Alessandra Santos;Mayra Pena;04.03.02. Logística / Transporte / Veículos / Fiorino RJO3C64;não especificada;
limpeza Fiorino - RJO3C64;em 1 dia;Luiz Alexandre;Mayra Pena;04.03.02. Logística / Transporte / Veículos / Fiorino RJO3C64;não especificada;
Manutenção Corretiva - RJO3C64;em 1 dia;Luiz Alexandre;Mayra Pena;04.03.02. Logística / Transporte / Veículos / Fiorino RJO3C64;não especificada;
Manutenção Preventiva - RJO3C64;em 1 dia;Luiz Alexandre;Mayra Pena;04.03.02. Logística / Transporte / Veículos / Fiorino RJO3C64;não especificada;
Revisão Periódica - RJO3C64;em 15 dias;Luiz Alexandre;Mayra Pena;04.03.02. Logística / Transporte / Veículos / Fiorino RJO3C64;não especificada;

